NAME,ID,EMAIL,PASSWORD,user_type,unique_Id
Qwerty Singh,9,qwerty@gmail.com,1XemAZwQ5ddT8nk4HzFzeesN28byaDk0zsM7gw56Y7ZEqriwTtRjPghrY2UQf/dhzyuKRW5yLoG/IBMQiqFFjJA+ThRvCCsJGazohmXiyZ54PJ+k08pKEBWsv3+5bNmY,20,
qwerty1,10,qw@gmail.com,7t84RCGxuZhXY2x0D9Yp5tSEVWkdcU3MDYWk0U9hxy1UHmET9+8G0CRBv52xnfU4nTt4NeLgtkAduLhjECc0bQmWHT/3kMtRHfdTQ/uoujOB43pPUVPo+F103urtDk6t,20,
q1,12,q1@em.com,TLHjuTFxUHxvymkOYn8vPA==,20,
abc,13,abc2@gmail.com,z0Du54JRsXYmdG4bRbx8fg==,20,
xyz,14,xyz@gmail.com,TLHjuTFxUHxvymkOYn8vPA==,20,
rahul,15,rah@gmail.com,TLHjuTFxUHxvymkOYn8vPA==,20,
Pankaj Kumar,17,kpankajy28@gmail.com,XylR7S+Op6Oo4+hSISODSw==,20,952fd0ec-6153-472a-b485-d6120ac5b90f
pankaj2,18,pankaj.x@yopmail.com,hbQLgKwN85spWOS0jF2SgA==,20,46eeeea9-47b1-4dc9-95b5-e8289c9e6d01
Mahesh,19,dalle@gmail.com,mahesh,20,
Dev,21,dev@x.com,F0SekFOUDDE63PagyyylRQ==,20,
